iter	Passed	Remaining
0	100	20034
1	194	19291
2	259	17046
3	306	15038
4	367	14330
5	431	13955
6	500	13804
7	559	13436
8	681	14457
9	688	13082
10	801	13765
11	875	13709
12	946	13609
13	991	13169
14	1044	12878
15	1184	13618
16	1220	13142
17	1249	12632
18	1355	12913
19	1399	12592
20	1454	12395
21	1537	12436
22	1596	12288
23	1633	11975
24	1671	11701
25	1768	11836
26	1824	11693
27	1898	11663
28	1960	11559
29	2043	11581
30	2173	11850
31	2263	11885
32	2325	11766
33	2367	11557
34	2403	11331
35	2473	11267
36	2528	11138
37	2566	10943
38	2652	10950
39	2703	10812
40	2779	10780
41	2935	11041
42	3021	11032
43	3064	10865
44	3158	10878
45	3226	10802
46	3296	10731
47	3409	10795
48	3447	10624
49	3526	10579
50	3563	10411
51	3652	10395
52	3820	10595
53	3895	10533
54	3963	10449
55	4143	10655
56	4290	10763
57	4547	11133
58	4582	10950
59	4673	10905
60	4784	10901
61	5113	11380
62	5200	11308
63	5289	11239
64	5442	11304
65	5617	11406
66	5664	11243
67	5720	11105
68	5940	11278
69	6198	11511
70	6416	11657
71	6602	11738
72	6795	11821
73	7047	12000
74	7225	12042
75	7406	12084
76	7572	12095
77	7756	12131
78	7923	12135
79	8035	12053
80	8275	12158
81	8414	12108
82	8597	12119
83	8787	12135
84	8943	12099
85	9129	12101
86	9294	12072
87	9453	12032
88	9631	12011
89	9763	11933
90	9946	11913
91	10144	11908
92	10339	11895
93	10381	11707
94	10612	11729
95	10713	11606
96	10948	11625
97	11080	11532
98	11224	11451
99	11421	11421
100	11646	11415
101	11774	11313
102	11998	11299
103	12188	11251
104	12314	11141
105	12461	11050
106	12657	11001
107	12845	10942
108	12931	10795
109	13128	10741
110	13338	10694
111	13440	10560
112	13677	10530
113	13798	10409
114	13964	10321
115	14095	10206
116	14276	10127
117	14430	10028
118	14623	9953
119	14777	9851
120	14934	9750
121	15021	9603
122	15121	9466
123	15241	9341
124	15335	9201
125	15527	9119
126	15622	8980
127	15866	8924
128	16009	8811
129	16129	8684
130	16305	8588
131	16442	8470
132	16650	8388
133	16761	8255
134	16828	8102
135	16877	7942
136	16971	7804
137	17029	7651
138	17193	7545
139	17261	7397
140	17375	7270
141	17504	7149
142	17571	7004
143	17652	6864
144	17692	6710
145	17812	6588
146	17924	6462
147	17969	6313
148	18071	6185
149	18110	6036
150	18192	5903
151	18266	5768
152	18326	5629
153	18393	5494
154	18451	5356
155	18506	5219
156	18599	5094
157	18682	4966
158	18719	4827
159	18753	4688
160	18830	4561
161	18892	4431
162	18978	4308
163	19047	4181
164	19102	4052
165	19150	3922
166	19191	3792
167	19269	3670
168	19348	3549
169	19396	3422
170	19473	3302
171	19544	3181
172	19592	3057
173	19672	2939
174	19723	2817
175	19789	2698
176	19853	2579
177	19902	2459
178	19977	2343
179	20048	2227
180	20085	2108
181	20127	1990
182	20176	1874
183	20234	1759
184	20253	1642
185	20314	1529
186	20363	1415
187	20389	1301
188	20421	1188
189	20448	1076
190	20466	964
191	20482	853
192	20494	743
193	20533	635
194	20568	527
195	20595	420
196	20611	313
197	20637	208
198	20654	103
199	20679	0
